Date,Loyalty_Programme,Search_Term_Popularity
2022-02-28,Discovery_Miles,33
2022-03-31,Discovery_Miles,38
2022-04-30,Discovery_Miles,36
2022-05-31,Discovery_Miles,32
2022-06-30,Discovery_Miles,42
2022-07-31,Discovery_Miles,43
2022-08-31,Discovery_Miles,41
2022-09-30,Discovery_Miles,46
2022-10-31,Discovery_Miles,39
2022-11-30,Discovery_Miles,60
2022-12-31,Discovery_Miles,45
2023-01-31,Discovery_Miles,44
2023-02-28,Discovery_Miles,37
2023-03-31,Discovery_Miles,35
2023-04-30,Discovery_Miles,40
2023-05-31,Discovery_Miles,42
2023-06-30,Discovery_Miles,44
2023-07-31,Discovery_Miles,41
2023-08-31,Discovery_Miles,38
2023-09-30,Discovery_Miles,32
2023-10-31,Discovery_Miles,41
2023-11-30,Discovery_Miles,60
2023-12-31,Discovery_Miles,40
2024-01-31,Discovery_Miles,47
2024-02-29,Discovery_Miles,46
2024-03-31,Discovery_Miles,38
2024-04-30,Discovery_Miles,43
2024-05-31,Discovery_Miles,45
2024-06-30,Discovery_Miles,35
2024-07-31,Discovery_Miles,34
2024-08-31,Discovery_Miles,42
2024-09-30,Discovery_Miles,38
2024-10-31,Discovery_Miles,47
2024-11-30,Discovery_Miles,74
2024-12-31,Discovery_Miles,48
2025-01-31,Discovery_Miles,57
2025-02-28,Discovery_Miles,56
2025-03-31,Discovery_Miles,46
2022-02-28,FNB_eBucks,50
2022-03-31,FNB_eBucks,42
2022-04-30,FNB_eBucks,39
2022-05-31,FNB_eBucks,50
2022-06-30,FNB_eBucks,55
2022-07-31,FNB_eBucks,58
2022-08-31,FNB_eBucks,52
2022-09-30,FNB_eBucks,44
2022-10-31,FNB_eBucks,47
2022-11-30,FNB_eBucks,52
2022-12-31,FNB_eBucks,41
2023-01-31,FNB_eBucks,54
2023-02-28,FNB_eBucks,45
2023-03-31,FNB_eBucks,44
2023-04-30,FNB_eBucks,39
2023-05-31,FNB_eBucks,52
2023-06-30,FNB_eBucks,52
2023-07-31,FNB_eBucks,49
2023-08-31,FNB_eBucks,48
2023-09-30,FNB_eBucks,42
2023-10-31,FNB_eBucks,38
2023-11-30,FNB_eBucks,60
2023-12-31,FNB_eBucks,44
2024-01-31,FNB_eBucks,46
2024-02-29,FNB_eBucks,39
2024-03-31,FNB_eBucks,39
2024-04-30,FNB_eBucks,39
2024-05-31,FNB_eBucks,37
2024-06-30,FNB_eBucks,42
2024-07-31,FNB_eBucks,45
2024-08-31,FNB_eBucks,43
2024-09-30,FNB_eBucks,45
2024-10-31,FNB_eBucks,44
2024-11-30,FNB_eBucks,52
2024-12-31,FNB_eBucks,41
2025-01-31,FNB_eBucks,47
2025-02-28,FNB_eBucks,40
2025-03-31,FNB_eBucks,42
2022-02-28,Standard_Bank_UCount,31
2022-03-31,Standard_Bank_UCount,36
2022-04-30,Standard_Bank_UCount,32
2022-05-31,Standard_Bank_UCount,34
2022-06-30,Standard_Bank_UCount,34
2022-07-31,Standard_Bank_UCount,39
2022-08-31,Standard_Bank_UCount,29
2022-09-30,Standard_Bank_UCount,32
2022-10-31,Standard_Bank_UCount,32
2022-11-30,Standard_Bank_UCount,35
2022-12-31,Standard_Bank_UCount,42
2023-01-31,Standard_Bank_UCount,42
2023-02-28,Standard_Bank_UCount,30
2023-03-31,Standard_Bank_UCount,27
2023-04-30,Standard_Bank_UCount,28
2023-05-31,Standard_Bank_UCount,31
2023-06-30,Standard_Bank_UCount,33
2023-07-31,Standard_Bank_UCount,26
2023-08-31,Standard_Bank_UCount,23
2023-09-30,Standard_Bank_UCount,15
2023-10-31,Standard_Bank_UCount,25
2023-11-30,Standard_Bank_UCount,31
2023-12-31,Standard_Bank_UCount,26
2024-01-31,Standard_Bank_UCount,25
2024-02-29,Standard_Bank_UCount,21
2024-03-31,Standard_Bank_UCount,22
2024-04-30,Standard_Bank_UCount,19
2024-05-31,Standard_Bank_UCount,16
2024-06-30,Standard_Bank_UCount,20
2024-07-31,Standard_Bank_UCount,26
2024-08-31,Standard_Bank_UCount,17
2024-09-30,Standard_Bank_UCount,25
2024-10-31,Standard_Bank_UCount,20
2024-11-30,Standard_Bank_UCount,21
2024-12-31,Standard_Bank_UCount,14
2025-01-31,Standard_Bank_UCount,19
2025-02-28,Standard_Bank_UCount,17
2025-03-31,Standard_Bank_UCount,21
2022-02-28,Nedbank_Greenbacks,34
2022-03-31,Nedbank_Greenbacks,27
2022-04-30,Nedbank_Greenbacks,27
2022-05-31,Nedbank_Greenbacks,25
2022-06-30,Nedbank_Greenbacks,20
2022-07-31,Nedbank_Greenbacks,22
2022-08-31,Nedbank_Greenbacks,25
2022-09-30,Nedbank_Greenbacks,29
2022-10-31,Nedbank_Greenbacks,32
2022-11-30,Nedbank_Greenbacks,24
2022-12-31,Nedbank_Greenbacks,25
2023-01-31,Nedbank_Greenbacks,25
2023-02-28,Nedbank_Greenbacks,16
2023-03-31,Nedbank_Greenbacks,14
2023-04-30,Nedbank_Greenbacks,10
2023-05-31,Nedbank_Greenbacks,24
2023-06-30,Nedbank_Greenbacks,26
2023-07-31,Nedbank_Greenbacks,28
2023-08-31,Nedbank_Greenbacks,22
2023-09-30,Nedbank_Greenbacks,18
2023-10-31,Nedbank_Greenbacks,17
2023-11-30,Nedbank_Greenbacks,22
2023-12-31,Nedbank_Greenbacks,0
2024-01-31,Nedbank_Greenbacks,20
2024-02-29,Nedbank_Greenbacks,17
2024-03-31,Nedbank_Greenbacks,28
2024-04-30,Nedbank_Greenbacks,22
2024-05-31,Nedbank_Greenbacks,19
2024-06-30,Nedbank_Greenbacks,22
2024-07-31,Nedbank_Greenbacks,22
2024-08-31,Nedbank_Greenbacks,23
2024-09-30,Nedbank_Greenbacks,24
2024-10-31,Nedbank_Greenbacks,23
2024-11-30,Nedbank_Greenbacks,15
2024-12-31,Nedbank_Greenbacks,0
2025-01-31,Nedbank_Greenbacks,16
2025-02-28,Nedbank_Greenbacks,7
2025-03-31,Nedbank_Greenbacks,18
